bonferroni_p_value,bootstrap_lower,bootstrap_upper,data_source,economic_result_basis,execution_cost_block,family,largest_contribution,losses,matched_events,matched_matches,mean_pnl,net_pnl,numeric_provenance,object,pnl_without_largest,q_value,raw_p_value,reject_reason,rule_id,sample_count,selection_eligible,time_interval,unit,wins
,,,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,,0,0,0,,0.0,OBSERVED_VALUE,all_training_conditions,0.0,,,ZERO_MATCHES,absolute_change_ge_0.05__and__elapsed_seconds_lt_-38,1,False,UNKNOWN,record,0
,,,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,,0,0,0,,0.0,OBSERVED_VALUE,all_training_conditions,0.0,,,ZERO_MATCHES,absolute_change_ge_0.05__and__elapsed_seconds_lt_-52,1,False,UNKNOWN,record,0
,,,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,,0,0,0,,0.0,OBSERVED_VALUE,all_training_conditions,0.0,,,ZERO_MATCHES,absolute_change_ge_0.05__and__elapsed_seconds_lt_300,1,False,UNKNOWN,record,0
1.0,-12.121712499999997,13.122449999999994,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.881,75,188,188,0.0026170212765957435,0.49199999999999977,OBSERVED_VALUE,all_training_conditions,1.3729999999999998,0.9720775371442447,0.47625237476252374,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__level_eq_ATP,1,False,UNKNOWN,record,113
1.0,-7.342762499999994,16.4886125,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,0.855,72,173,173,0.02659248554913296,4.600500000000002,OBSERVED_VALUE,all_training_conditions,3.7455000000000003,0.9720775371442447,0.22367763223677634,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.05__and__level_eq_WTA,1,False,UNKNOWN,record,101
1.0,0.22499999999999998,0.22499999999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,path_behavior,0.22499999999999998,0,1,1,0.22499999999999998,0.22499999999999998,OBSERVED_VALUE,all_training_conditions,0.0,0.9720775371442447,0.49945005499450057,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.455,1,False,UNKNOWN,record,1
1.0,0.22499999999999998,0.22499999999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,0.22499999999999998,0,1,1,0.22499999999999998,0.22499999999999998,OBSERVED_VALUE,all_training_conditions,0.0,0.9720775371442447,0.5026497350264973,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.455__and__elapsed_seconds_ge_-23,1,False,UNKNOWN,record,1
1.0,0.22499999999999998,0.22499999999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,0.22499999999999998,0,1,1,0.22499999999999998,0.22499999999999998,OBSERVED_VALUE,all_training_conditions,0.0,0.9720775371442447,0.4931506849315068,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.455__and__elapsed_seconds_ge_-38,1,False,UNKNOWN,record,1
1.0,0.22499999999999998,0.22499999999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,0.22499999999999998,0,1,1,0.22499999999999998,0.22499999999999998,OBSERVED_VALUE,all_training_conditions,0.0,0.9720775371442447,0.5003499650034996,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.455__and__elapsed_seconds_ge_-4388,1,False,UNKNOWN,record,1
1.0,0.22499999999999998,0.22499999999999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,0.22499999999999998,0,1,1,0.22499999999999998,0.22499999999999998,OBSERVED_VALUE,all_training_conditions,0.0,0.9720775371442447,0.4988501149885011,FDR_NOT_SIGNIFICANT,absolute_change_ge_0.455__and__elapsed_seconds_ge_-52,1,False,UNKNOWN,record,1
